bm25core,tes,ov,useful
16.84491119,0.595238095,0.454545455,no
16.69717742,0.642857143,0.363636364,no
16.65387471,0.642857143,0.454545455,no
15.94983031,0.547619048,0.363636364,no
15.94983031,0.547619048,0.363636364,no
15.93909649,0.5,0.272727273,no
15.86671818,0.80952381,0.727272727,yes
15.59753379,0.666666667,0.363636364,no
15.44071187,0.595238095,0.363636364,yes
15.3635179,0.642857143,0.545454545,no
15.21333028,0.666666667,0.454545455,no
15.09231275,0.738095238,0.545454545,yes
15.01557808,0.571428571,0.272727273,no
14.93330144,0.595238095,0.363636364,no
14.93330144,0.595238095,0.363636364,no
14.59865258,0.785714286,0.636363636,yes
14.55014794,0.80952381,0.545454545,no
14.06847065,0.642857143,0.545454545,no
14.06847065,0.642857143,0.545454545,no
13.84038647,0.595238095,0.272727273,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
13.56081216,0.571428571,0.363636364,no
30.77451675,0.47761194,0.588235294,no
26.01613855,0.552238806,0.470588235,no
25.41210078,0.71641791,0.764705882,yes
22.34593417,0.626865672,0.588235294,no
20.94719722,0.626865672,0.529411765,no
20.35415673,0.611940299,0.529411765,no
19.96534269,0.47761194,0.352941176,no
19.27350518,0.641791045,0.529411765,no
19.08983159,0.731343284,0.529411765,no
18.78173832,0.671641791,0.529411765,no
18.77897931,0.955223881,0.882352941,yes
18.49949076,0.686567164,0.529411765,no
17.56309648,0.626865672,0.470588235,no
17.24792046,0.552238806,0.470588235,no
17.23750044,0.820895522,0.647058824,no
17.19077349,0.731343284,0.588235294,no
17.18792974,0.611940299,0.588235294,no
17.16713206,0.537313433,0.529411765,yes
17.07302645,0.731343284,0.588235294,yes
16.82549375,0.850746269,0.647058824,no
16.57946614,0.611940299,0.529411765,no
16.54874585,0.701492537,0.588235294,no
16.48497011,0.805970149,0.529411765,no
16.47692721,0.835820896,0.529411765,no
16.24988868,0.71641791,0.588235294,no
16.08746254,0.731343284,0.529411765,no
15.93630281,0.671641791,0.529411765,no
15.7689434,0.820895522,0.647058824,no
15.70500274,0.641791045,0.529411765,no
15.60697728,0.686567164,0.529411765,no
27.65705272,0.644444444,0.545454545,no
25.34454699,0.933333333,0.727272727,yes
21.04132655,0.711111111,0.636363636,yes
20.67558634,0.733333333,0.636363636,yes
19.67626329,0.822222222,0.636363636,yes
19.46419868,0.666666667,0.545454545,yes
18.79043238,0.711111111,0.545454545,yes
18.26675774,0.711111111,0.636363636,yes
18.1162373,0.577777778,0.454545455,no
18.00866994,0.711111111,0.636363636,yes
17.57377627,0.644444444,0.545454545,no
16.73370055,0.644444444,0.545454545,yes
16.39148302,0.733333333,0.545454545,yes
16.01805396,0.711111111,0.545454545,yes
15.79322241,0.666666667,0.454545455,no
15.78343778,0.622222222,0.545454545,no
15.60328005,0.844444444,0.727272727,yes
15.05765565,0.6,0.454545455,no
14.44209581,0.666666667,0.454545455,no
14.24125297,0.755555556,0.454545455,no
13.92906235,0.733333333,0.454545455,no
13.22934337,0.8,0.727272727,yes
13.17049592,0.822222222,0.636363636,yes
13.15871743,0.688888889,0.454545455,no
12.86075038,0.511111111,0.363636364,no
12.80602765,0.755555556,0.545454545,yes
12.75614088,0.8,0.545454545,yes
12.7367623,0.777777778,0.454545455,no
12.67455356,0.666666667,0.545454545,no
12.48918635,0.755555556,0.454545455,no
24.20381249,0.770833333,0.583333333,yes
23.80963188,0.625,0.666666667,no
22.89110842,0.666666667,0.583333333,no
21.93249322,0.8125,0.75,yes
20.79657955,0.666666667,0.583333333,no
20.70047822,0.645833333,0.666666667,no
20.34715256,0.458333333,0.5,yes
19.56745484,0.666666667,0.416666667,no
19.56745484,0.625,0.416666667,no
19.36567938,0.625,0.583333333,no
19.30284811,0.583333333,0.5,no
19.21008396,0.666666667,0.666666667,no
19.03000682,0.6875,0.416666667,no
18.86158138,0.729166667,0.666666667,yes
18.37106473,0.604166667,0.583333333,no
18.24670415,0.8125,0.666666667,no
18.24327816,0.4375,0.333333333,no
18.04601067,0.708333333,0.583333333,no
17.86834114,0.583333333,0.5,no
17.82654898,0.395833333,0.333333333,no
17.51431615,0.6875,0.5,no
17.34587689,0.833333333,0.75,yes
17.3100358,0.541666667,0.416666667,no
17.1580663,0.5,0.416666667,no
17.00492341,0.8125,0.666666667,no
16.97793677,0.666666667,0.5,no
16.86529377,0.770833333,0.583333333,no
16.78740944,0.895833333,0.666666667,no
16.72937766,0.6875,0.5,no
16.55057584,0.645833333,0.5,no
59.85138926,0.722222222,0.894736842,no
24.69742154,0.513888889,0.473684211,no
23.6368825,0.541666667,0.421052632,no
23.41813305,0.527777778,0.368421053,no
22.59094507,0.527777778,0.315789474,no
18.43716778,0.680555556,0.578947368,no
18.1544404,0.763888889,0.578947368,no
18.06811573,0.541666667,0.368421053,no
18.06811573,0.541666667,0.368421053,no
17.68785553,0.277777778,0.157894737,no
15.57193304,0.597222222,0.315789474,no
14.75757378,0.472222222,0.263157895,no
14.56474858,0.430555556,0.315789474,no
14.49708928,0.791666667,0.631578947,yes
13.75705703,0.680555556,0.315789474,no
13.52769158,0.694444444,0.315789474,no
